num_corre,dia_ocu,ano_ocu,hora_ocu,mes_ocu,dia_sem_ocu,mupio_ocu,depto_ocu,area_geo_ocu,sexo_per,zona_ocu,edad_per,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,tipo_eve,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,g_hora,g_hora_5,g_modelo_veh,anio
77,3,2016,22,1,7,101,1,1,1,6,40,1,1,2,48,3,9999,1,7,7,9,4,3,6,2016
78,3,2016,22,1,7,101,1,1,1,6,24,1,1,4,999,99,9999,1,3,3,5,4,3,6,2016
79,3,2016,2,1,7,101,1,1,2,11,34,1,1,1,52,3,9999,1,5,5,7,1,1,6,2016
80,3,2016,2,1,7,101,1,1,1,11,24,1,1,3,69,5,9999,1,3,3,5,1,1,6,2016
81,3,2016,20,1,7,117,1,1,9,99,999,9,9,99,999,99,9999,1,16,12,18,4,3,6,2016
82,3,2016,20,1,7,117,1,1,1,99,20,1,1,4,999,99,9999,1,3,3,5,4,3,6,2016
83,3,2016,3,1,7,2201,22,2,1,99,25,9,1,4,999,99,9999,2,4,4,6,1,1,6,2016
84,3,2016,6,1,7,2101,21,2,1,99,28,9,1,3,69,7,1998,1,4,4,6,2,1,3,2016
85,3,2016,6,1,7,2101,21,2,1,99,28,9,1,4,6,1,9999,1,4,4,6,2,1,6,2016
86,3,2016,14,1,7,2009,20,2,1,99,55,2,1,3,69,1,2001,1,10,10,12,3,2,4,2016
87,3,2016,14,1,7,2009,20,2,1,99,35,1,1,2,41,2,2012,1,6,6,8,3,2,5,2016
88,3,2016,13,1,7,2001,20,2,1,99,20,9,1,4,999,99,9999,4,3,3,5,3,2,6,2016
89,3,2016,19,1,7,1901,19,2,1,99,30,1,1,1,41,4,9999,1,5,5,7,4,3,6,2016
90,3,2016,19,1,7,1901,19,2,1,99,32,1,1,2,69,1,9999,1,5,5,7,4,3,6,2016
91,3,2016,21,1,7,1901,19,2,1,99,24,9,1,4,999,99,9999,1,3,3,5,4,3,6,2016
92,3,2016,1,1,7,201,2,2,1,99,32,9,1,6,19,2,2005,1,5,5,7,1,1,4,2016
93,3,2016,1,1,7,201,2,2,1,99,32,9,1,1,48,4,2007,1,5,5,7,1,1,4,2016
94,3,2016,1,1,7,201,2,2,1,99,34,9,1,9,28,4,2015,1,5,5,7,1,1,5,2016
95,3,2016,1,1,7,201,2,2,1,99,19,9,1,1,999,99,9999,2,2,2,4,1,1,6,2016
96,3,2016,0,1,7,1801,18,2,1,99,22,2,1,14,999,99,9999,2,3,3,5,1,1,6,2016
97,3,2016,21,1,7,1701,17,2,1,99,22,1,1,4,6,5,9999,4,3,3,5,4,3,6,2016
98,3,2016,13,1,7,706,7,2,1,99,29,1,1,12,69,5,9999,2,4,4,6,3,2,6,2016
99,3,2016,2,1,7,415,4,2,1,99,29,1,1,1,56,99,2012,2,4,4,6,1,1,5,2016
100,3,2016,17,1,7,403,4,2,1,99,44,2,1,2,14,6,1980,1,7,7,9,3,2,2,2016
101,3,2016,17,1,7,403,4,2,1,99,19,1,1,14,6,1,2011,1,2,2,4,3,2,5,2016
102,3,2016,20,1,7,306,3,2,9,99,999,9,9,99,999,99,9999,1,16,12,18,4,3,6,2016
103,3,2016,20,1,7,306,3,2,1,99,29,9,1,4,999,99,9999,1,4,4,6,4,3,6,2016
104,4,2016,6,1,1,501,5,2,2,99,18,9,1,4,6,5,9999,1,2,2,4,2,1,6,2016
105,4,2016,20,1,1,801,8,2,1,99,32,9,1,3,69,99,9999,1,5,5,7,4,3,6,2016
106,4,2016,20,1,1,801,8,2,1,99,31,9,1,3,69,99,9999,1,5,5,7,4,3,6,2016
107,4,2016,15,1,1,1804,18,2,1,99,45,1,1,2,27,9,9999,1,8,8,10,3,2,6,2016
108,4,2016,15,1,1,1804,18,2,1,99,31,1,1,3,69,6,9999,1,5,5,7,3,2,6,2016
109,4,2016,21,1,1,1401,14,2,9,99,999,9,9,2,86,5,9999,1,16,12,18,4,3,6,2016
110,4,2016,21,1,1,1401,14,2,1,99,22,9,1,4,999,99,9999,1,3,3,5,4,3,6,2016
111,4,2016,22,1,1,312,3,2,1,99,35,9,1,3,69,2,9999,1,6,6,8,4,3,6,2016
112,4,2016,22,1,1,312,3,2,1,99,27,9,1,4,6,5,9999,1,4,4,6,4,3,6,2016
113,5,2016,10,1,2,2212,22,2,1,99,75,9,1,5,31,2,9999,3,14,11,16,2,1,6,2016
114,5,2016,14,1,2,1911,19,2,2,99,15,1,2,4,999,99,9999,1,2,2,4,3,2,6,2016
115,5,2016,14,1,2,1911,19,2,9,99,999,9,9,13,999,99,9999,1,16,12,18,3,2,6,2016
116,5,2016,23,1,2,1910,19,2,1,99,35,9,1,4,67,99,9999,2,6,6,8,4,3,6,2016
117,5,2016,9,1,2,501,5,2,9,99,999,9,9,99,999,99,9999,1,16,12,18,2,1,6,2016
118,5,2016,9,1,2,501,5,2,1,99,18,1,1,4,999,1,9999,1,2,2,4,2,1,6,2016
119,5,2016,19,1,2,1230,12,2,9,99,999,9,9,99,999,99,9999,1,16,12,18,4,3,6,2016
120,5,2016,17,1,2,1201,12,2,9,99,999,9,9,99,999,99,9999,1,16,12,18,3,2,6,2016
121,5,2016,17,1,2,1201,12,2,1,99,21,9,1,4,999,99,9999,1,3,3,5,3,2,6,2016
122,5,2016,0,1,2,1301,13,2,1,99,26,9,1,4,64,5,9999,4,4,4,6,1,1,6,2016
123,5,2016,1,1,2,1301,13,2,1,99,43,9,1,1,48,4,9999,1,7,7,9,1,1,6,2016
124,5,2016,1,1,2,1301,13,2,1,99,37,1,1,3,69,99,9999,1,6,6,8,1,1,6,2016
