num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,mupio_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,anio
9010,2018,22,2,1,1,12,6,101,1,7,1,37,6,6,8,9,1,4,163,2,2017,5,4,2018
9011,2018,22,10,2,1,12,6,101,1,7,1,27,4,4,6,9,1,2,28,5,9999,99,1,2018
9012,2018,22,10,2,1,12,6,101,1,7,1,27,4,4,6,9,1,2,76,5,9999,99,1,2018
9013,2018,22,13,3,2,12,6,108,1,99,1,39,6,6,8,9,1,4,38,6,2009,4,4,2018
9014,2018,22,20,4,3,12,6,501,5,99,1,49,8,8,10,9,1,6,19,6,9999,99,1,2018
9015,2018,22,20,4,3,12,6,501,5,99,1,27,4,4,6,9,1,4,6,5,9999,99,1,2018
9016,2018,22,2,1,1,12,6,2201,22,99,1,45,8,8,10,9,1,3,69,1,9999,99,1,2018
9017,2018,22,2,1,1,12,6,2201,22,99,1,23,3,3,5,9,1,3,69,2,9999,99,1,2018
9018,2018,22,18,4,3,12,6,2201,22,99,2,999,16,12,18,9,1,1,48,99,9999,99,1,2018
9019,2018,22,18,4,3,12,6,2201,22,99,1,16,2,2,4,9,2,1,48,99,9999,99,1,2018
9020,2018,22,16,3,2,12,6,1601,16,99,1,35,6,6,8,9,2,2,69,4,1997,3,2,2018
9021,2018,22,19,4,3,12,6,403,4,99,1,25,4,4,6,9,1,1,48,3,1991,3,1,2018
9022,2018,22,19,4,3,12,6,403,4,99,1,999,16,12,18,9,9,4,27,3,9999,99,1,2018
9023,2018,22,0,1,1,12,6,2003,20,99,1,999,16,12,18,9,1,3,69,4,9999,99,2,2018
9024,2018,22,18,4,3,12,6,601,6,99,1,46,8,8,10,9,1,12,49,2,2002,4,1,2018
9025,2018,22,18,4,3,12,6,601,6,99,1,40,7,7,9,9,1,3,69,5,1991,3,1,2018
9026,2018,22,0,1,1,12,6,1101,11,99,1,20,3,3,5,9,1,4,6,1,2012,5,1,2018
9027,2018,22,0,1,1,12,6,1101,11,99,1,34,5,5,7,9,1,1,48,4,2002,4,1,2018
